"","Country","Gender","Age","EmploymentStatus","EmployerIndustry","FormalEducation","Major","CompensationAmount","CompensationCurrency","CurrentJobTitle","TitleFit","LanguageRecommendation","DataScienceIdentity","WorkDataVisualizations","JobSatisfaction","JobSatisfaction2"
"1","United States","Male",56,"Independent contractor, freelancer, or self-employed","Mix of fields","Master's degree","Mathematics or statistics",250000,"USD","Operations Research Practitioner","Poorly","Python","Yes","100% of projects","10 - Highly Satisfied",10
"2","Russia","Male",33,"Employed full-time","Internet-based","Bachelor's degree","Other",1200000,"RUB","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","Less than 10% of projects","7",7
"3","Taiwan","Male",26,"Employed full-time","Financial","Master's degree","Computer Science",1100000,"TWD","Software Developer/Software Engineer","Fine","Python","No","26-50% of projects","5",5
"4","United States","Male",25,"Employed part-time","Academic","Bachelor's degree","Physics",20000,"USD","Researcher","Fine","Python","Yes","76-99% of projects","6",6
"5","United States","Male",33,"Employed full-time","Telecommunications","Doctoral degree","Electrical Engineering",1e+05,"USD","Scientist/Researcher","Perfectly","Matlab","No","Less than 10% of projects","7",7
"6","Czech Republic","Male",21,"Employed part-time","Academic","Some college/university study without earning a bachelor's degree","Computer Science",20000,"CZK","Other","Fine","Python","Sort of (Explain more)","10-25% of projects","5",5
"7","Russia","Male",22,"Employed full-time","Mix of fields","Bachelor's degree","Information technology, networking, or system administration",624000,"RUB","Data Analyst","Fine","Python","Yes","26-50% of projects","8",8
"8","Poland","Male",29,"Employed full-time","Pharmaceutical","Master's degree","Computer Science",126000,"PLN","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","Less than 10% of projects","9",9
"9","United States","Male",35,"Employed full-time","Technology","Doctoral degree","Physics",133000,"USD","Engineer","Fine","Python","Sort of (Explain more)","51-75% of projects","8",8
"10","Sweden","Male",37,"Employed full-time","Technology","Master's degree","Electrical Engineering",80000,"USD","Machine Learning Engineer","Perfectly","Python","Yes","100% of projects","9",9
"11","Iran","Male",31,"Employed part-time","Technology","Doctoral degree","Computer Science",15000,"USD","Scientist/Researcher","Fine","Python","Yes","Less than 10% of projects","6",6
"12","United States","Male",40,"Employed full-time","Technology","Doctoral degree","Physics",215000,"USD","Scientist/Researcher","Perfectly","Python","Yes","Less than 10% of projects","8",8
"13","United States","Male",25,"Employed full-time","CRM/Marketing","Master's degree","Engineering (non-computer focused)",61000,"HKD","Engineer","Poorly","Python","Sort of (Explain more)","Less than 10% of projects","6",6
"14","Germany","Male",44,"Employed full-time","Internet-based","Master's degree","A humanities discipline",65000,"EUR","Other","Fine","Python","No","76-99% of projects","7",7
"15","United States","Female",31,"Employed full-time","Academic","Doctoral degree","Engineering (non-computer focused)",83500,"USD","Scientist/Researcher","Perfectly","R","Yes","100% of projects","7",7
"16","United States","Female",39,"Employed full-time","Insurance","Master's degree","Engineering (non-computer focused)",115000,"USD","Predictive Modeler","Fine","R","Yes","10-25% of projects","10 - Highly Satisfied",10
"17","Hungary","Male",40,"Employed full-time","Academic","Doctoral degree","A social science",4e+06,"HUF","Researcher","Fine","R","Sort of (Explain more)","76-99% of projects","8",8
"18","United States","Male",50,"Employed full-time","Insurance","Doctoral degree","Mathematics or statistics",135000,"USD","Predictive Modeler","Perfectly","R","Yes","76-99% of projects","8",8
"19","Brazil","Male",25,"Employed full-time","Academic","Master's degree","Computer Science",1500,"BRL","Computer Scientist","Perfectly","Python","Sort of (Explain more)","10-25% of projects","10 - Highly Satisfied",10
"20","Brazil","Male",32,"Employed full-time","Academic","Master's degree","Computer Science",25000,"BRL","Scientist/Researcher","Fine","Python","Yes","10-25% of projects","10 - Highly Satisfied",10
"21","Hungary","Male",38,"Employed full-time","Technology","Bachelor's degree","Computer Science",372000,"HUF","Researcher","Fine","Python","Sort of (Explain more)","100% of projects","2",2
"22","Brazil","Male",38,"Employed full-time","Technology","Bachelor's degree","Information technology, networking, or system administration",60000,"BRL","Programmer","Fine","Python","Sort of (Explain more)","26-50% of projects","6",6
"23","Russia","Male",31,"Independent contractor, freelancer, or self-employed","CRM/Marketing","Some college/university study without earning a bachelor's degree","Computer Science",840000,"RUB","Business Analyst","Fine","R","Sort of (Explain more)","None","5",5
